Organisation,KVK number
Shin-Etsu PVC,034123402
Shin-Etsu Silicones Europe B.V.,039049276
Shinko Machineries Europe B.V.,033163750
Shinn Fu Europe B.V,020070856
SHINWATEC LIMITED EUROPE Representative Office,086720600
Shionogi B.V.,073229180
Shipitsmarter.Com B.V.,034131907
Shipsy B.V.,091552346
Shira-Yuki,053580966
Shirley Parsons B.V.,076628663
Shiva Soft Solutions B.V.,066084628
SHL Nederland B.V.,030073998
Shop-Apotheke Service B.V.,063955938
Shopify Commerce Netherlands B.V.,082284059
Shopping Minds Nederland B.V.,057701687
ShoreTension B.V.,050596721
Short Stay Group Operations B.V.,034300122
Shosho B.V.,068993218
Shouguang Vegetable Industry Holding Group Netherlands B.V.,055658431
Showa International (Netherlands) B.V.,034151373
Showoff Imports B.V.,082090777
SHPP B.V.,074096435
SHPP Sales B.V.,074074458
Shuguang Europe B.V.,017219625
SHV Energy N.V.,030098428
SHV Holdings N.V.,030065974
Shypple B.V.,066593972
Sia Partners,034362284
Sibelco Nederland N.V.,023053616
Sidhu Food B.V.,033306070
Siebel Jewelry B.V.,060134577
Siemens Electronic Design Automation B.V.,034063001
Siemens Energy B.V.,053745175
Siemens Energy Finance B.V.,077784073
Siemens Energy Holding B.V.,075347679
Siemens Finance B.V.,027196108
Siemens Gamesa Renewable Energy,067034276
Siemens Healthineers Holding I B.V.,008050305
Siemens Healthineers Holding III B.V.,069414335
Siemens Healthineers Nederland I B.V.,092289657
Siemens Industry Software Netherlands B.V.,071436391
Siemens International Holding B.V.,027044420
Siemens Mobility B.V.,071002693
Siemens Nederland N.V.,027015771
Sier Disposables B.V.,009210159
Siere Handel B.V.,039099457
Sierra Instruments B.V.,033237377
Sif Netherlands B.V.,013027369
Siflower Communication Holland B.V.,083060669
Sig Combibloc B.V.,006058479
Sigmax Government Products B.V.,008176866
Signify Holding B.V.,017054234
Signify N.V.,065220692
Signify Netherlands B.V.,017061150
Signkick R&D,066445671
Signpost Six B.V.,066139414
SignRequest B.V.,061138088
Siilo Holding B.V.,063858975
Silgan Dispensing Systems Netherlands B.V.,018050688
Silhouette Europe B.V.,089847180
Silicon Integrated B.V.,074814982
Silicon Power Computer and Communications Netherlands B.V.,039090688
Silicon Refractory Anchoring Systems B.V.,027192515
Silk Way Airlines GmbH,066626579
Silver Ocean B.V.,034201965
Silverflow B.V.,075705680
SIM International B.V.,058371869
Simacan B.V.,057084173
SimCorp Benelux SA/NV,024401945
Sime Darby Oils Zwijndrecht Refinery B.V.,024328835
Simex Transport and Forwarding B.V.,035026479
Simmons & Simmons LLP,051088282
Simon-Kucher & Partners B.V.,034365127
Simpl.Energy B.V.,089660986
Simply Green B.V.,066885965
Simptel B.V.,075987252
SimStudio International Consultants B.V.,076076326
Simtech Cloud Consulting B.V.,062586432
SIMtoCARE B.V.,070934126
Simu Engineers B.V.,084501626
Simwave B.V.,066427576
Simytech Uitzend- en Detacheringsbureau Hengelo B.V.,008127318
Sineria Holland B.V.,061343862
Singapore Airlines Ltd,033134631
Single Cell Discoveries B.V.,071626336
Single Quantum B.V.,054424089
Sinner B.V.,032060153
Sinnovision Management B.V.,058921923
Sinoboom B.V.,077223837
Sinomedik B.V.,052753220
Sino-Ned Business Consultancy B.V.,034317317
Sinotrans Air Transportation GmbH Netherlands Branch,075559838
Sintecs B.V.,008185577
Sintek B.V.,083297812
Sioux Expats B.V.,073761966
Sioux Technologies Assembly B.V.,076235831
Sir Albert Hotel B.V.,034259391
Sircle Collection B.V.,034369785
SIRE ManCo B.V.,080193188
SIRE Staffing Solutions B.V.,073348228
Sirius Medical Systems B.V.,068134673
Siron B.V.,008147849
SIRVA B.V.,027018231
SIS Global Netherlands B.V.,082215332
Sisar B.V.,061824305
SITA B.V.,034123443
Sitech Services B.V.,014105702
Sitech Services B.V.,090348524
Sitecom Europe B.V.,024313551
Sitecore Nederland B.V.,030245580
SiTime Netherlands B.V.,068414889
Siveele B.V.i.o.,020169798
Six Dogs B.V.,081479220
Sizzer B.V.,034214442
Sjaak van der Vijver B.V.,027345463
Sjaak van Schie B.V.,027260928
Sjartec Technische Groothandel B.V.,028019528
SJJ Solutions B.V.,071377352
SK Enmove Europe B.V.,034354653
SKAAL B.V.,068059043
Skalar Analytical B.V.,020042879
Skeye B.V.,057161283
SKF B.V.,030047921
Skill Nation B.V.,064493318
Skilllab B.V.,070768668
SkillShift B.V.,088540588
Skillz-up Professionals B.V.,080898459
SKIM Analytical,024135624
SkinVision B.V.,055195520
Skopei Digital B.V.,070587310
Skydreams B.V.,024330161
SkyGeo Netherlands B.V.,061630896
Skyhaus B.V.,073729574
SkylineDx B.V.,058599797
SkyNRG B.V.,050242423
SkyShowtime Limited,086308688
SkySpecs B.V.,072077336
SkyTeam Airline Alliance Management Coöperatie U.A.,034345101
Skytree B.V.,061020796
Skyworkz B.V.,071738185
Slalom Netherlands B.V.,076125386
Slangen + Koenis B.V.,030074297
Sledge Hammer Engineering International B.V.,024270960
Sleepdienst Adriaan Kooren B.V.,024066028
Sleepy P Ranch B.V.,066408520
Sleeve Technology B.V.,017246503
Slim Development B.V.,055004342
Slim met Energie B.V.,055033490
Slimmer AI,001145626
Slimmer AI Labs B.V.,082155283
Slimmer AI Science B.V.,082155275
Slimstock Holding B.V.,038024648
SLJ Investment Partners B.V.,062856642
SLK Software Netherlands B.V.,034258286
SLTN Personeel B.V.,032064916
Sluis Cigar Machinery B.V.,005029396
SMAL GmbH,073994367
SmallRig Europe B.V.,090715365
Smallsteps B.V.,060901934
Smarlet RPM B.V.,027327203
Smart Asset Integrity Solutions B.V.,024314380
Smart Compliance Solution B.V.,082951632
Smart Medical and Trade B.V.,072705558
SMART Photonics B.V.,054843219
Smart Robotics B.V.,075859602
Smart.pr B.V.,057083126
Smart2IT B.V.,075030829
Smart4Aviation Technologies B.V.,050372580
Smartech Nederland B.V.,077044681
SmartFarming B.V.,068229194
Smartfeedz,017209844
Smartlab Holding B.V.,024349518
SmartLockr,061781614
Smartly.io Solutions Oy Netherlands Branch,086695118
Smartmatic International Holding B.V.,004032259
SmartMed B.V.,064797538
SmartMed Patient Solutions B.V.,092030564
SmartNow B.V.,063620162
Smartshore B.V.,056609485
SMB Capital B.V.,024345275
SMBC Aero Engine Lease B.V.,058968504
SMBC Bank EU AG,074151851
SMC Nederland B.V.,033165882
Smets Food Trading B.V.,057754632
Smiler B.V.,080689078
Smit Lamnalco Netherlands B.V.,054802202
Smit Thermal Solutions B.V.,062918621
Smith & Associates Europe B.V.,034112048
Smith & Nephew Operations B.V.,073958476
Smiths Detection Benelux B.V.,069323593
Smits van Burgst Raadgevend Ingenieursbureau,027092121
SMRC Automotive Holdings Netherlands B.V.,060670274
SMS Cycling B.V.,008119294
SMS Global Logistics B.V.,069452954
SMST Designers & Constructors B.V.,001059469
SMT Services B.V.,065860667
SMT Shipping (Netherlands) B.V.,050582550
SMT Zorg & Zorgadvies B.V.,070366640
Smurfit Kappa Nederland B.V.,014628280
Smurfit Kappa Paper Services B.V.,032065886
Smurfit Kappa Parenco B.V.,009042723
Smurfit Kappa Recycling B.V.,016084803
SN Power Invest Netherlands B.V.,060009586
Snap B.V.,067777538
Snappet B.V.,055161510
SNBC Europe B.V.,017062599
SnelStart Software B.V.,037054131
Snijders Intelligent Automation,023051631
Snippet Technologies IT B.V.,084247800
SNOT B.V.,058899634
Snowflake Computing Netherlands B.V.,073059277
SNR Schouten & Nelissen Recovery B.V.,011014569
SNV Shell Nederland Verkoopmaatschappij B.V.,024112907
SO Connect B.V.,056838182
SOA People Nederland N.V.,017104742
Sobolt B.V.,067363571
Sociaal-Economische Raad - SER,027363950
Social Audience B.V.,062917161
Social Circle B.V.,052911217
Social Finance NL B.V.,071759735
Social Traffic B.V.,034210533
Socios Sports B.V.,034242182
Sockeye Creative Inc.,064795373
Sodaq B.V.,057681201
SodaStream International B.V.,020083292
Soderberg Transport,077080793
Sodexo Altys B.V.,024403427
Sofico Services,020103780
Sofis B.V.,028060405
Sofra Dairy Products B.V.,062128051
Softlayer Dutch Holdings B.V.,052461041
Softline Solutions Netherlands B.V.,050774840
Software AG Nederland B.V.,011032512
Software for Chemistry & Materials B.V.,033301537
Software Foundry B.V.,050383426
Software Improvement Group B.V.,034133013
Software Quality Measurement and Improvement B.V.,024258907
SoftwareONE Netherlands B.V.,033226399
Sogeti Nederland B.V.,030200252
Soho House Amsterdam B.V.,063310406
S-OIL Corporation,054165261
SoilBeat Holding B.V.,090362969
Sojitz Aviation and Marine B.V.,034159452
Sojitz Corporation of Europe B.V.,083595384
Sojitz Global Investment B.V.,055868673
SolaaS Lab B.V.,085837091
Solar Chiropractic,063792877
Solar Monkey B.V.,064301400
SolarClarity B.V.,032123093
SolarComfort B.V,011055205
SolarDuck B.V.,080923879
Solarge International B.V.,078002613
Solarix Concepts B.V.,073282944
SolarOplossing B.V.,075473127
SolarPlaza International B.V.,052919129
SolarTurn B.V.,053545702
Solarus Smart Energy Solutions B.V.,077904419
SolaX Power NL Company B.V.,073047597
Solenis Netherlands B.V.,060529075
Solera Nederland B.V.,030173899
Solico Engineering B.V.,066511291
Solid Professionals Interim B.V.,030242744
Solid Sands B.V.,061176249
Solid Trading B.V.,037152948
Solid Young Professionals B.V.,072377437
SolidNature Projects B.V.,055056091
Solina Netherlands B.V.,024314442
Solines B.V.,018127411
Solis Naturals B.V.,075863189
Solis Tractors & Agricultural Machinery B.V.,073516228
Solit Network Solutions B.V.,035028509
Solnet Group B.V.,068473370
Solora B.V.,074894595
Solstice Pharmaceuticals B.V.,078428491
Soltegro B.V.,020164895
SoluForce B.V.,084775203
Solulever B.V.,072312491
Solutional Consulting B.V.,085213675
Solutional Netherlands B.V.,027287306
Solvès Employee B.V.,076489973
Solvinity,059597291
Solvy B.V.,077235053
Somar Europe B.V.,072631899
Somatics Incubator B.V.,072189185
"Somi Shokuhin Co., Ltd.",076439941
Somnox B.V.,067150179
Sonac Vuren B.V.,059079266
Sonatrach Petroleum Investment Corporation B.V.,033237812
Sonder Technology B.V.,076715949
Songbook B.V.,082785767
Sonion Nederland B.V.,014098797
Sonneborn Refined Products B.V.,054991439
Sono Hospitality B.V.,086411470
Sonos Europe B.V.,032107881
SonoScape Medical Netherlands B.V.,070727295
Sonova Nederland B.V.,030153332
Sonova Retail Support Centre B.V.,069114544
Sonum B.V.,050740067
Sony Europe B.V.,071682147
Sony Music Entertainment Netherlands B.V.,032037174
Soolutions E-commerce B.V.,060162589
Sooqr B.V.,032077937
"Soosan Heavy Industries Co., Ltd. Europe Office",024287006
Sopheon N.V.,034083605
Sophia Com B.V.,027172772
Sopra Banking Software Netherlands B.V.,061567078
Sopra Steria Benelux,062465554
Sopra Steria Nederland B.V.,030086514
Sorama B.V.,050232053
Sorba Projects B.V.,008032950
SOS International Amsterdam,033171493
SoSafe B.V.,086607715
Soterion Benelux B.V.,077632206
SoundCell B.V.,086904434
Soundclaims B.V.,068416636
SoundEnergy B.V.,069445389
Source Engineering Services B.V.,062469576
Source Flex Solutions B.V.,053104501
Source Payroll Services B.V.,030249784
Source.ag B.V.,080938582
Source.ag International B.V.,080936385
Sourcenext B.V.,073821950
Soursop B.V.,074917021
South Pole Netherlands B.V.,069954844
South Stream Transport B.V.,056465254
Sovereign Speed Netherlands B.V.,064754073
Sowiso B.V.,050647482
Soyventis Europe B.V.,073975257
SPA WNP ingenieurs B.V.,009092661
Spaak Circular Solutions B.V.,068426690
Space Encounters B.V.,066392683
space&matter B.V.,066153344
Space4Good B.V.,068961774
Spacewell Netherlands B.V.,009146652
SPAR International B.V.,033092182
Sparck Technologies Services B.V.,085910740
Spares in Motion B.V.,054956242
Spark Design & Innovation B.V.,023073956
Spark Universe B.V.,082936900
Sparkelon B.V.,065393449
SparkNano B.V.,069720908
Sparkoo Technologies B.V.,084023082
SparkOptimus B.V.,034254566
Sparque B.V.,067538819
Spatial Eye B.V.,011062368
SPDF Business Advisory Coöperatie U.A.,055475892
Speakap 2 B.V.,063585723
Speakap 5 B.V.,072282673
Speakap 6 B.V.,072282738
SPEAKAP B.V.,051753847
Speakap Holding B.V.,058332375
Speakeasy Netherlands B.V.,061444480
Speaksee B.V.,070051224
Specialized Europe B.V.,009089900
Specialty Electronic Materials Netherlands B.V.,066460298
Specno B.V.,083440445
Specsavers International B.V.,002334162
SPECTR B.V.,076571548
Spectral Enterprise B.V.,065812573
Spectral Industries B.V.,060235772
Spectrometry Vision B.V.,039092487
Spencer Stuart International B.V.,030118706
SpendLab Recovery B.V.,037127571
Sperry Marine B.V.,024233711
SPF Europe B.V.,014043867
SPGPrints B.V.,016032034
Spheer AI B.V.,083632433
Sphera Solutions,066233089
SphereMall B.V.,065892208
Spherical Systems B.V.,086813056
Spidron Weco B.V.,068000545
SPIE Nederland B.V.,014635629
Spiers New Technologies B.V.,070728550
Spin Master International B.V.,052118339
Spinn Holding B.V.,061809845
Spinnin Records B.V.,032075851
SPK Europe B.V.,024274318
Splash Europe B.V.,085547514
Splash Palace B.V.,033273995
Splashtop B.V.,077876342
Splendo Consulting B.V.,017128970
Splunk Services Netherlands B.V.,056965761
SPM Instrument B.V.,018113234
Sport Medisch Centrum Amsterdam,054792479
Sport Services B.V.,018044416
SPOSEA B.V.,065075471
Spotify Netherlands B.V.,034388788
spotONvision B.V.,057229791
Spotzer Digital B.V.,034254009
SPR Solutions Inc. B.V.,086323261
Sprank B.V.,024366430
Spring Today B.V.,067807712
Springer Nature B.V.,023051097
Springest B.V.,030239037
SpriteCloud B.V.,027351758
Spro N.V.,023075813
SpronQ B.V.,064040321
Sproule B.V.,075636026
SPS Commerce Netherlands B.V.,076027589
SPS InnoQon B.V.,072793147
SPS-Europe B.V.,052894223
SPT Offshore B.V.,022041298
SPX Flow Technology Assen B.V.,004029567
Sqills Products B.V.,008172403
SQLI Nederland B.V.,034128263
Squadra MDM Factory B.V.,078551048
Squarespace Netherlands B.V.,084406720
Squeezely B.V.,066994292
SR CON NH B.V.,059291850
SRA (Europe) B.V.,033218505
Sram Europe Sales and Services B.V.,038020300
S-RM B.V.,085918768
SSC Plus B.V.,033278320
SSE Fire Protection B.V.,076068048
St. Anny Food B.V.,011031788
Staan Finance & Consultancy,034267301
Stable & Rent,018126586
Stackers B.V.,080750281
Stadium Grow Lighting,034157947
Stadler Service Nederland B.V.,008120417
STAEDEAN B.V.,030202447
STAEL Process Recruitment B.V.,069641374
Staffbase B.V.,075849895
Staffing Force Nederland B.V.,034276840
Staffyou Service & Software B.V.,077118537
STAG Hotels Netherlands B.V.,055130313
Stage Entertainment B.V.,034110182
Stage Entertainment Nederland Producties B.V.,034072678
Stage Global B.V.,063551535
Stagetruck B.V.,076073033
Stago B.V.,036002890
Stahl Europe B.V.,018107581
Stahl Holdings B.V.,034249320
Stahl International B.V.,018132671
Stakelogic B.V.,058566473
Stamicarbon B.V.,014009371
Stammes Recruitment B.V.,061651559
Stanley Engineered Fastening Benelux B.V.,014627337
Stanley International B.V.,075557126
Stantec B.V.,027184323
Star Apple Interim B.V.,061212792
Star Container Services B.V.,024117944
Star fysiotherapie,070673748
STAR Group Nederland B.V.,022047014
STAR Resources B.V.,056266693
Star South International B.V.,067453074
Starbucks Coffee EMEA B.V.,034160291
Starbucks Manufacturing EMEA B.V.,034161132
Starck International B.V.,083316132
Starion Nederland B.V.,051393069
Stark Narrative,034377454
Starnus Technology B.V.,084281014
Starodub B.V.,060766743
Starred B.V.,055735452
Stars and Stories Nederland B.V.,061733210
Starskin Group B.V.,054705290
Starskin International B.V.,054736552
Start People,029031500
Startmail B.V.,067176925
Startpagina Home & Thema's B.V.,081782551
startselect B.V.,052837610
Starware B.V.,029037906
State Street Bank International GmbH Amsterdam Branch,058459235
Stater N.V.,032073618
Statera Recruitment B.V.,027319870
Statkraft Markets B.V.,033304386
Statkraft Renewables Benelux B.V.,060257830
STB Software Development B.V.,087643359
STBY B.V.,033298534
STC - Group,041131703
STC B.V.,037053270
Stedin Groep Personeels B.V.,024289165
Stedin Netbeheer B.V.,024289101
Steeds Advies B.V.,081278608
Steelcase Benelux B.V.,061489328
Steenland Chocolate B.V.,024354029
Stefanini Netherlands B.V.,070063915
Stellantis N.V.,060372958
Stellantis Nederland B.V.,030068414
Stellar Belastingadviseurs B.V.,070694389
Stellar Data Recovery B.V.,030215746
STELTIX Nederland B.V.,030175262
Stena Line B.V.,024072680
Stentit B.V.,066850193
Ster innovation and consultancy B.V.,080871976
Sterc B.V.,056757131
STERIS,009052974
Sterrk Detachering B.V.,070490503
Steward Redqueen B.V.,027170153
Sthree Holdings B.V.,024295090
SThree Interim Services B.V.,058612122
Stibbe B.V.,033170864
Stibo Systems B.V.,056248733
stichd B.V.,016068007
"Stichting """"Institute for International Criminal Investigations Foundation""""",027248986
Stichting 3X3 Unites,066588588
Stichting ABA ROLI Netherlands,088069842
"Stichting Accare, Universitaire en Algemene Kinder- en Jeugdpsychiatrie Noord-Nederland",041020275
Stichting Access To Medicine Foundation,034185938
Stichting Access To Nutrition Foundation,058279199
Stichting ActionAid,041217595
Stichting Aeres Groep,041246832
Stichting Aflatoun International,034229026
Stichting Aidenvironment,041208024
Stichting Aids Fonds - STOP AIDS NOW! - Soa Aids Nederland,041207989
Stichting AIESEC International,024280781
Stichting Akvo,027327087
Stichting Akwaaba Zorg,034230367
Stichting Albert Schweitzer Ziekenhuis,023091362
Stichting Algemeen Christelijk Ziekenhuis Groningen,041012091
Stichting American School of The Hague,041153023
Stichting Amsterdam Institute for Global Health and Development,034262058
Stichting Amsterdam UMC,064156338
Stichting Aqua for All,027248417
Stichting Arabische Wereld Zending,041150377
Stichting Arctic Basecamp Foundation,077753666
Stichting ASVZ,024369841
Stichting Autoriteit Financiële Markten,041207759
Stichting B Lab Europe,058157700
Stichting Banktrack,030198568
Stichting Basketbal Promotie Limburg,014097589
Stichting Bellingcat,072136030
Stichting BOOR,024424572
Stichting BoP Innovation Center,050744984
Stichting Briet Awraham,041213392
Stichting Brunnera,062972235
Stichting Business Development Friesland,041005127
Stichting Butterfly Works,034213609
Stichting Capitals Coalition,076727149
Stichting CARE Nederland,041158230
Stichting Carmelcollege,041027871
Stichting Catharina-Ziekenhuis,041087385
Stichting Catville Foundation,076342271
Stichting Cenex Nederland,071866078
Stichting Center for Civilians in Conflict,083398163
Stichting CentERdata,041098659
Stichting Chip Integration Technology Center,073371378
"Stichting CHOICE, for youth and sexuality",032108345
Stichting CIEE Amsterdam,034223068
stichting Circle Economy,052051048
Stichting Climate-KIC International Foundation,077373154
Stichting CMC,041149831
Stichting Commonland,059872314
Stichting Consent,008141207
Stichting Cordaid,041160054
Stichting Cultural Emergency Response (CER),086741853
Stichting Dabanga Foundation,081831285
Stichting De Linde,034177740
Stichting Deltares,041146461
Stichting Dialogue Advisory Group,034323722
Stichting Dorcas Aid International,041236410
Stichting Dotspace,065320778
Stichting dr. Denis Mukwege,063545861
Stichting Dunamare Onderwijsgroep,034277470
Stichting Dutch Marine Energy Centre,037141947
Stichting Dutch Polymer Institute,041094295
Stichting DutchStartHub,062045695
Stichting Edunova,063125889
Stichting Eduvier Onderwijsgroep,041023804
Stichting EGI,034380182
Stichting EHEDG,024290365
Stichting Environmental Defense Fund Europe,072607440
Stichting Enviu Nederland,024357922
Stichting EP-Nuffic,041150085
Stichting Equileap Investment Services Support,067397972
Stichting European Climate Foundation,027313877
Stichting European Clinical Research Alliance on Infectious Diseases,085030643
Stichting European Journalism Centre,041078390
Stichting European Society for Blood and Marrow Transplantation,014083431
Stichting European Urological Foundation,041058571
Stichting Europeana,027307531
Stichting Fair Wear Foundation,034111374
Stichting Fairfood International,034141098
Stichting Flevoziekenhuis,041023790
Stichting Fotografie Museum Amsterdam,034153678
Stichting Foundation for International Law for the Environment,072770368
Stichting Framer Framed,051823039
Stichting Free Press Unlimited,052957535
Stichting Frontrunners,064256057
Stichting Fulbright Commission the Netherlands,068278195
Stichting GET Protocol Foundation,069771138
Stichting GGZ Momentum,050975382
Stichting Global Alliance for banking on values,055537014
Stichting Global Network of People Living With HIV/Aids (Gnp+),041214768
Stichting Global Network of Young People Living with HIV (Y+ Global),077633555
Stichting Global Organizing Center,034300213
Stichting Global Reporting Initiative,034176957
Stichting Global Resilient Cities Network,081637853
Stichting Green Award,041134158
Stichting Green IT Consortium Regio Amsterdam,050126679
Stichting Greenpeace Council,041200415
Stichting Groningen Confucius Institute,051428121
Stichting Groninger Museum voor Stad en Lande,002058065
Stichting Haagsche Schoolvereeniging,041150342
Stichting Hartwig Medical Foundation,063052725
Stichting Health Action International,041207580
Stichting Health-RI,077193415
Stichting Het Nederlands Kanker Instituut-Antoni van Leeuwenhoek Ziekenhuis,040530817
Stichting Het Nieuwe Instituut,054584353
Stichting het Residentie Orkest,041152170
Stichting Het Rijksmuseum,041215141
Stichting Het Rijnlands Lyceum,041150857
Stichting Het Utrechts Landschap,041177576
Stichting Het Wereld Natuur Fonds Nederland,041177588
Stichting Hivos (Humanistisch Instituut voor Ontwikkelings-Samenwerking),041198677
Stichting Hogeschool Leiden,041167218
Stichting Hogeschool Rotterdam,041129830
Stichting Hogeschool Utrecht,030140523
Stichting Hogeschool van Arnhem en Nijmegen,009091785
Stichting Hubrecht Organoid Technology,058706542
Stichting I.E.A. Secretariaat Nederland,041158871
Stichting IDH,053521129
Stichting IHE Delft,041146484
Stichting IJsselland Ziekenhuis,041128994
Stichting IKEA Foundation,041202422
Stichting IMAS Foundation,033305482
Stichting IMEC Nederland,017179812
Stichting Impunity Watch,030238214
Stichting INGKA Foundation,041202414
Stichting Inlichtingenbureau,027244197
Stichting Innovatiepact Fryslân,066192641
Stichting Institute on Statelessness and Inclusion,061443840
"Stichting Interkerkelijke Organisatie voor Ontwikkelingssamenwerking, ICCO",056484038
Stichting Internationaal & Lokaal Funderend Onderwijs,017235549
Stichting Internationaal Belasting Documentatie Bureau,041197411
Stichting International Accord Foundation,059062673
Stichting International Center for Transitional Justice,062560670
Stichting International Centre for Counter-Terrorism,081081170
Stichting International Development Publications,028107497
Stichting International Dispensary Association,033170905
Stichting International Documentary Filmfestival Amsterdam,041193868
Stichting International Film Festival Rotterdam,041128382
Stichting International Groundwater Resources Assesment Centre,052951235
Stichting International Institute for Environment and Development Europe,081230710
Stichting International NGO Safety Organisation,073728489
Stichting International Vocal Competition 's-Hertogenbosch (IVC),041080527
Stichting Internet Domeinregistratie Nederland,041215724
"Stichting IRC, International Water and Sanitation Centre",041151952
Stichting Islamic University of Applied Sciences,024280196
Stichting Islamitisch Centrum Nederland (SICN),041177140
Stichting ISSO,041150633
Stichting IUCN Nederlands Comité (IUCN National Committee of the Netherlands Foundation),041180885
Stichting JAFI Nederland,034264039
Stichting Jan IngenHousz Institute,087455099
Stichting Japan Desk Ziekenhuis Amstelland,053210255
Stichting Jeshive Amsterdam,034176316
Stichting Jesus.net Foundation,055719139
Stichting Jiangsu Investment & Trade Promotion,053157907
Stichting Joint Impact Model,086538861
Stichting Joint Implementation Network,041013072
Stichting Joods Maatschappelijk Werk,041197282
Stichting Katholiek Voortgezet Onderwijs Breda en omgeving / Skvob,041102332
Stichting Kickstart AI,084274026
Stichting Kidsrights,034192528
Stichting Kind aan Huis,009145825
Stichting Koningin Wilhelmina Fonds voor de Nederlandse Kankerbestrijding,041197125
"Stichting Koninklijke Visio, expertisecentrum voor slechtziende en blinde mensen",008168183
Stichting Kunstinstituut Melly,041131511
Stichting Kunstmuseum Den Haag,027179947
Stichting Laurens,041126751
Stichting Levazorg,072306432
Stichting Liberation Route Europe,052154203
"Stichting Limburgs Voortgezet Onderwijs, Samenwerkingsbestuur voor bijzonder en openbaar onderwijs",014077279
Stichting Lucas Onderwijs,041158916
Stichting Maastricht Convention Bureau,041077223
Stichting Maritiem Research Instituut Nederland,009051790
Stichting MasterPeace,034386933
Stichting Mayday Rescue Foundation,064492915
Stichting Medewerkers Rotterdams Philharmonisch Orkest,055480241
Stichting Mediamatic,041010819
Stichting Medical Credit Fund,034348645
Stichting Medisch Spectrum Twente,041029722
Stichting Metabolic Institute,073586730
Stichting MPS,041169395
Stichting Museum Catharijneconvent,041187306
Stichting Nationaal Museum van Wereldculturen,041169362
Stichting Nationale Opera & Ballet,033263417
Stichting Naturalis Biodiversity Center,041169515
Stichting Nederlands Helsinki Comité,041182679
Stichting Nederlands Instituut voor Beeld en Geluid,041194855
"Stichting Nederlands Instituut voor Internationale Betrekkingen """"Clingendael""""",041152832
Stichting Nederlands Woning Waarde Instituut NWWI,030265403
Stichting Nederlandse Wetenschappelijk Onderzoek Instituten,041150068
Stichting Netherlands Advisory Board on impact investing,081042582
Stichting Netherlands eScience Center,055671721
Stichting Netherlands Institute for Multiparty Democracy,027189542
Stichting Netherlands Water Partnership (NWP),027186453
Stichting New Energy Coalition,069200556
Stichting Nord Anglia International School Rotterdam,041125735
Stichting OAPEN,053135296
Stichting OCA,066738822
Stichting Offlimits,041217108
"Stichting OLVG, OLVG Oost",041199082
Stichting Oncode Institute,069303010
"Stichting Onderwijsgroep Amstelland, stichting voor RK en PC basisonderwijs",041208656
Stichting Onderzoek Multinationale Ondernemingen,041223308
Stichting Open Doors International,041035009
Stichting Openbaar Voortgezet Onderwijs Tilburg,018085696
Stichting Openbaar Voortgezet Onderwijs Utrecht en Omstreken,030199604
Stichting OpenGeoHub,071844570
Stichting Operatie Mobilisatie,041126815
Stichting P.R.I.M.E. Finance Disputes Center,052998614
Stichting Palga,041197618
Stichting Pharmaccess International,034151082
Stichting Plan International Nederland,041198890
Stichting Plastic Soup Foundation,052072894
Stichting PostAcademisch Onderwijs Techniek en Management,027175987
Stichting Practica,009119363
Stichting Prins Claus Fonds voor Cultuur en Ontwikkeling,041159889
Stichting Protestants Christelijk Ziekenhuis Ikazia,041126544
Stichting PUM,041160229
Stichting Purmerendse ScholenGroep,041236445
Stichting Quantum Delta NL,080387217
Stichting Radboud universitair medisch centrum,080262783
Stichting Radio Nederland Wereldomroep,032022621
Stichting Radio Zamaneh,034238149
Stichting Rainforest Alliance,034159275
Stichting Rebel Support,058948112
Stichting Redeemed Christian Church of God,027177454
Stichting Refugees Forward,069014477
Stichting Rijksmuseum Muiderslot,041194666
Stichting RoboHouse,068102976
Stichting ROC Mondriaan,027182667
Stichting Rotterdams Philharmonisch Orkest,041126499
Stichting Rural Energy Services,034201011
Stichting Rutgers,041193594
Stichting Saga Interproject Nederland,034367085
Stichting Sanquin Bloedvoorziening,041217565
Stichting Save the Children Nederland,041201463
Stichting SBOH,041183558
Stichting SBOH Maatschappij en Gezondheid,072271175
Stichting Schoolvision,034254662
Stichting SciPost,065280083
Stichting SED Fund,071639314
Stichting Simavi,040594571
Stichting Singapore Economic Development Board,074610996
Stichting Sint Antonius Ziekenhuis,041177415
Stichting Sint Franciscus/Vlietland Groep,056474113
Stichting Smart Freight Centre,058396349
Stichting SNV Nederlandse Ontwikkelingsorganisatie,041152786
Stichting Solidaridad,041150939
Stichting Solidaridad Network,051756811
Stichting SOMA College,041150103
Stichting SPARK,041213450
Stichting SPRINT Robotics Collaborative,062404768
Stichting STAN,009145552
Stichting StartLife Holding,051231298
Stichting Sustainable Scale Up Foundation,069689466
Stichting Tandartsen Centrum Deventer,041244289
Stichting Terre des Hommes Nederland,041149287
Stichting Terschellings Oerol Festival,041005122
Stichting The 5.14 Project,034384255
Stichting The Class of 2020,055876420
Stichting The Global Center on Adaptation,076050475
Stichting The Hague Institute for Innovation of Law,027290536
Stichting The Ocean Cleanup,057262632
Stichting Thermoplastic Composites Research Center,008197084
Stichting Thomas More Hogeschool,059638273
Stichting Transnational Institute,041201806
Stichting Treant Ziekenhuiszorg,054289645
Stichting Tropenbos International,041155305
Stichting University College Roosevelt,022051334
