Organisation,KVK number
Ask Nicely B.V.,076941175
Ask Phill B.V.,066271266
ASL Dutch B.V.,071886354
ASL Global B.V.,070818533
ASM Europe BV,054004004
ASM International N.V.,030037466
ASM IP Holding B.V.,051509644
ASM Maritime B.V.,034313871
ASML Holding N.V.,017085815
ASML Netherlands B.V.,017052456
ASML Trading B.V.,069631557
ASMPT ALSI B.V.,059991909
ASP The Netherlands B.V.,072492449
Aspen Oss B.V.,057822883
Aspentech Europe B.V.,017096166
Asperion Hosting B.V.,034209714
Aspire Systems B.V.,067347894
ASR Nederland N.V.,030070695
ASRock Europe B.V.,012048643
Assai Software Services B.V.,011025854
Assemble 33 B.V.,074344684
Assembling Manufacturing & Sourcing Group B.V.,034186302
Assent Compliance Netherlands B.V.,075451565
Assertive Yield B.V.,074301268
Asset Control International B.V.,001060543
Asset Insight B.V.,070034915
Asset People B.V.,067635180
ASSET Rail B.V.,032107173
AssistiveWare B.V.,034323889
AssistYou Group B.V.,070786828
Astellas B.V.,033193274
Astellas Pharma Europe B.V.,028053775
Aster Technology Holland B.V.,052726509
Asteria Food B.V.,076154165
Astrata Europe B.V.,076632334
AstraZeneca B.V.,024234576
Astrolkwx B.V.,027246267
Astronergy Solar Netherlands B.V.,053764498
ASUS Holland B.V.,024302961
Asus Technology Holland,030224127
AT&T Global Network Services Nederland B.V.,034112329
ATA Mute B.V.,089728610
Atabix Solutions B.V.,054687195
ATAG Nederland B.V.,024279246
ATC Europe Coöperatief U.A.,067401694
ATC International Coöperatief U.A.,053390393
ATC International Financing B.V.,070127298
Atelier Eindhoven B.V.,060716797
ATENSUS Detachering B.V.,077630882
ATG Engineering B.V.,086887831
ATG Netherlands B.V.,028103377
AthenaStudies B.V.,062750151
Athlon Car Lease International B.V.,034066011
Athlon Car Lease Nederland B.V.,033136871
Athom B.V.,061036498
Athora Netherlands N.V.,030099450
Atlanship S.A.,024417682
Atlanta Field B.V.,056395205
Atlantic Integrated Freight B.V.,085066494
Atlantic Logistics B.V.,081902689
Atlantis Solutions B.V.,052471276
Atlas Copco Internationaal B.V.,023032900
Atlas Global Energy B.V.,069807809
Atlas Inexco Contractors B.V.,028083334
Atlas International B.V.,058356037
Atlas Networks B.V.,072237414
Atlas Services Group,033183196
Atlas Services Group Energy B.V.,033266137
Atlas Services Group Merchant B.V.,024258479
Atlassian B.V.,034311373
ATO-gear B.V.,063392445
ATOS INTERNATIONAL B.V.,017091364
Atos International Global Functions B.V.,088520811
Atos Netherlands B.V.,088539342
Atotech B.V.,030128915
ATR Infra-Services B.V.,058321594
Atradius,066569540
Atradius Collections B.V.,029051065
AtriCure Europe B.V.,027284379
ATS Global B.V.,034101316
ATS Group Holding B.V.,034205239
Atterbury Europe B.V.,061775665
Attrace B.V.,071511245
Audibene B.V.,057083584
Audiokinetic B.V.,089788087
Audio-Technica Benelux B.V.,033125236
AugmedIT B.V.,073186686
Augusta Aiken & Associates B.V.,087563436
AUO Display Plus Netherlands B.V.,050936395
AUO Europe B.V.,034203615
Aura B.V.,086530844
Aurea Imaging B.V.,070573670
Aurelia Design B.V.,086712543
AURELIUS Nederland B.V.,073381403
Auren Staffing Amersfoort B.V.,031025962
Aurora Netherlands B.V.,017141882
Aurora Technology B.V.,028076579
Aurubis Netherlands B.V.,052930610
Ausnutria Operations B.V.,016071398
Autarco B.V.,055102697
Autel Netherlands B.V.,084342773
Autisme Centrum Groei! B.V.,070341079
Auto Camper Service International Holding B.V.,010017059
Auto Kökcü B.V.,067498949
AutoBinck Group N.V.,027309079
Autodesk B.V.,024257680
AutoFacets B.V.,027192319
AutoForm Engineering B.V.,024340780
Autoglas D & K B.V.,028052444
Automotive Mediaventions B.V.,075213370
AutoScout24 Nederland B.V.,034132428
Autotelex B.V.,009045121
AV Flexologic B.V.,028029253
AV Group B.V.,093969325
AVA ALMS VALVE AGENCY B.V.,037077882
Avago Technologies Holdings B.V.,034233872
Avalor AI B.V.,082695806
Avanade Netherlands B.V.,034138431
Avanca International B.V.,027359105
Avania B.V.,030145386
Avans Hogeschool,041104408
Avans Hogeschool B.V.,020097716
Avant Arte B.V.,063169231
Avantes B.V.,008061324
Avantium Chemicals B.V.,034336587
Avantium Renewable Polymers B.V.,067111386
Avantium Support B.V.,034336581
Avast Software B.V.,059827874
Avaya Nederland B.V.,030134328
Aveco De Bondt B.V.,030169759
Avedon Capital Partners B.V.,027318150
Aventiss Europe Engineering,055778372
AvePoint Deutschland GmbH,058166815
Avery Dennison Hong Kong B.V.,028059050
Avery Dennison Management Services Netherlands B.V.,095464034
Avery Dennison Materials Europe B.V.,027314864
Avery Dennison Materials Nederland B.V.,028016666
Avery Dennison Netherlands Investment II B.V.,028099309
Avery Dennison Treasury Management B.V.,057292256
AVEVA Select Benelux B.V.,020065389
AVEVA Software Netherlands B.V.,068293747
Aveza Industrial Automation,058724087
Aviaco Nederland B.V.,070129061
Aviator Netherlands B.V.,058005862
Avidicure B.V.,086627767
Avient Colorants Netherlands B.V.,034246357
Avignon Capital Netherlands B.V.,075010445
Aviko B.V.,008027672
Avion B.V.,089058534
Avisi Cloud Services B.V.,076632393
Avit Group B.V.,030184675
Avito Technologies B.V.,073099988
Aviva Investors Luxembourg - Netherlands branch,074523783
Avivia B.V.,017182870
AVOXT B.V.,086234404
AVR-Afvalverwerking B.V.,058599843
Avular Innovations B.V.,059394285
Avy B.V.,064101339
AWA Alexander Watson Associates B.V.,034116509
AWA Conferences B.V.,034166635
Awaretrain B.V.,068933886
AWAREWAYS B.V.,056432267
AWay4Africa,053938372
Awe Studio B.V.,090582543
AWIN B.V.,034249159
AWL-Techniek B.V.,008065983
AXA Real Estate Investment Managers Nederland B.V.,030199846
AXELERA AI B.V.,082483027
Axia Power Holdings B.V.,034109067
Axia Vegetable Seeds B.V.,051496313
Axians Communication Solutions B.V.,032057918
AxiCom B.V.,027193737
Axient Systems B.V.,093417047
Axign B.V.,060429089
Axion Biosystems B.V.,056622244
Axon Public Safety B.V.,060432713
AxonIQ B.V.,068902093
Axoy Holding B.V.,077668421
Axual B.V.,064350622
Axus Nederland B.V.,034063455
Axus Nederland N.V.,039037163
Axxemble B.V.,070563748
Ayurveda Specialist B.V.,027380209
Azerion Productions Services BV,076533441
Azerion Sports B.V.,017245693
Azerion Tech Holding B.V.,076432572
Azerion Technology B.V.,020139757
AZZ WSI B.V.,024340519
B & C International B.V.,008064339
B & S International B.V.,024254078
B&C Lifestyle B.V.,053678451
B&F Palace Amsterdam B.V.,060633239
B&S Beauty B.V.,083649069
B. Building Business B.V.,060902159
B. Futurist B.V.,077668685
B.T.H. Service B.V.,017149968
B.T.S. Bedrijfswagens & Trailer Service B.V.,036034956
B.V. Alabastine (Holland),011009080
B.V. Algemeen Nederlands Persbureau ANP,027037499
B.V. Amstel Hotel Maatschappij,034253641
B.V. Arrow Electronics DLC,033298008
B.V. Chiropractie Rugcentra A.B. van Beest D.C.,012047903
"B.V. Design-Production Link """"D.P.L.""""",024286607
"B.V. Rubberfabriek """"Wittenburg""""",032000126
B.V. Systemation AES,024308721
B.V. Twentsche Kabelfabriek,006008145
B.V. Vega Meet- en Regeltechniek,031016969
B.V. VITESSE,009102466
B+B Vakmedianet Groep B.V.,058780688
B4C Markets B.V.,059038489
Baas B.V.,053743792
Baat accountants en adviseurs,014118248
Baat Medical Products B.V.,008130406
Babysits B.V.,068591950
Bac B.V.,032060680
Bacardi-Martini B.V.,033164385
Backbase B.V.,034192943
Backbase Europe B.V.,034274514
Backbase R&D B.V.,034274511
Backbase Services B.V.,077020146
BackOffice Associates NL B.V.,071549552
BackOfficer B.V.,017221694
BACKROADS B.V.,094716064
Badenoch + Clark B.V.,028079464
Baeken B.V.,091018692
BAF Group B.V.,059050284
Baffinland Iron Mines Europe B.V.,075553953
Baggerbedrijf De Boer,023059422
Baggermaatschappij Boskalis B.V.,023011424
Bagira Netherlands B.V.,076573966
Bain & Company Netherlands LLC,033293447
Baker & McKenzie Amsterdam N.V.,034208804
Baker Atlas,034053177
Baker Hughes Energy International B.V.,068025289
Baker Hughes Reservoir Software B.V.,027271490
Baker Tilly (Netherlands) N.V.,024425560
Baker Tilly Corporate Finance (Netherlands) B.V.,024384456
"BakerCorp, a United Rentals Company",020133298
Bakken & Bæck B.V.,064169235
Bakker Centrale Inkoop B.V.,024150319
Bakker Magnetics B.V.,017040749
Bakker Repair B.V.,023037045
Bakker Sliedrecht Electro Industrie B.V.,023040872
Bakker Tandheelkunde & Orthodontie,008199103
Bakkersteam Services B.V.,056643691
Balance Ervaring op Projectbasis B.V.,033269431
Balanced Force B.V.,066243971
Balemaster Europe B.V.,066400066
Ballast Nedam Bouw & Ontwikkeling,033121397
Ballast Nedam Industriebouw B.V.,033183018
Ballast Nedam Infra B.V.,033154028
Ballerton B.V.,059276789
BALR B.V.,057910960
Baluster Care B.V.,078241308
BAM Bouw en Techniek B.V.,030195841
BAM Energie & Water West B.V.,034049433
BAM Groep Nederland B.V.,030282400
BAM Infra B.V.,024347782
BAM Infraconsult B.V.,009073590
BAM International B.V.,027068392
BAM Nederland B.V.,064738868
BAM Specials B.V.,074525743
Bambelo B.V.,020111350
Bambi Belt B.V.,070126100
Bambi Belt Holding B.V.,066325153
Bambooder Biobased Fibers B.V.,064109739
"Banco Santander, S.A., Amsterdam Branch",085357332
BANDALL B.V.,030094569
Bang! Media Group B.V.,034368707
Banijay Benelux Holding B.V.,061823147
Bank of Beijing,050585843
Bank of China (Europe) S.A. Rotterdam Branch,024404193
Bannerboy B.V.,056792697
Bannerwise B.V.,063348322
Bannink Accountants en Belastingadviseurs,034312659
Baosen Suntop Europe B.V.,061775207
Barak Capital Market Making B.V.,081697201
"Barclays Bank Ireland Plc, Netherlands branch",073040398
BARCODE Architects B.V.,061674494
Barena Europe B.V.,069692416
Barentz Commodities B.V.,034096110
Barentz Holding B.V.,075958619
Barilla International B.V.,090076184
Barla Food B.V.,054842328
Barry Callebaut Nederland B.V.,034093059
Barsan Global Logistics B.V.,066654335
Barth Industrial Automation B.V.,081507208
BAS Mining Trucks B.V.,017266443
BAS Parts & Tyres B.V.,017221169
BAS Truck Center B.V.,016021586
BAS Uitzenden en ZZP B.V.,066658985
BAS World B.V.,017103220
Base Cyber Security B.V.,063412454
Baseblue B.V.,075566532
BaseClear B.V.,028060938
Baseflow B.V.,071659374
Basel Life Niederlande I B.V.,034143831
Basell Sales & Marketing Company B.V.,034245062
Basenet Internet Projects B.V.,033282707
BASF Coatings Services B.V.,030145628
BASF Nederland B.V.,009022883
Basic City A+U,056415389
Basic Fit International B.V.,034314877
Basic Pharma Manufacturing B.V.,013028530
Basis Expert Consulting Services B.V.,074298917
Basis-E-Markt Groothandel,027251462
Basware B.V.,034148630
Bata Nederland B.V.,017008954
Batavia Biomanufacturing B.V.,088173240
Batavia Biosciences B.V.,027362965
Battolyser B.V.,070827540
Bau Lian B.V.,064579077
Bauer Funderingstechniek B.V.,034202843
Bausch+Lomb Netherlands B.V.,080878482
Bausch+Lomb OPS B.V.,059464364
BauWatch Nederland B.V.,004058684
BauWatch Technology B.V.,052934969
Bavelstaete Holding B.V.,020102618
bAwear B.V.,080977650
Bax-Shop.nl B.V.,050943642
Baxter B.V.,016032724
BaxterStorey Netherlands,051949601
Bayards Helidecks B.V.,023047288
Bayer B.V.,030048949
Bayer Global Investments B.V.,051490986
Bayer Holland,036003206
Bayer Medical Care B.V.,058745718
Bayer Netherlands B.V.,073816035
Bayer World Investments B.V.,056476760
BBBLGM B.V.,085631264
BBD Software B.V.,076547264
BBLeap B.V.,075923238
B-Built B.V.,020144793
BC Distribution B.V.,052873471
BCD Travel Nederland B.V.,027185876
BCD Travel Services B.V.,030213174
BCEI International B.V.,065372743
BCS (EU) B.V.,076698491
BD Kiestra B.V.,001067516
Bdairy B.V.,068300417
"BDO Accountancy, Tax & Legal B.V.",017171188
BDO Audit & Assurance B.V.,017171186
BDO Investigations B.V.,017171175
BDP Global Services B.V.,024445976
BDR Thermea Group B.V.,008125298
Be Empowered B.V.,065061284
BE Semiconductor Industries N.V.,009092395
BearingPoint B.V.,030142784
BEAT Research B.V.,074490133
Beatgrid Media B.V.,057458847
Beckhoff Automation B.V.,034068873
Beckman Coulter Nederland B.V.,030049740
Becton Dickinson,028065261
Bedandbreakfast.eu B.V.,050090933
BeDataDriven B.V.,061548278
Bedrocan International B.V.,002062255
Beemup B.V.,078646308
Beerwulf B.V.,067422020
BeeXact B.V.,080738354
Beiersdorf N.V.,039032682
Bejo Finance B.V.,037083070
Bejo Zaden B.V.,037048509
Bekaert Combustion Technology B.V.,004024852
Beko B.V.,034166639
Beko Europe B.V.,088850528
Beko Netherlands B.V.,027142032
Belden Europe B.V.,012033370
Belden Wire & Cable B.V.,012033356
Belkin B.V.,033306733
Bell Identification B.V.,024236705
Belvac Decorating Systems,018110482
Belvilla Services B.V.,017061015
BEMAC Corporation Europe Representative Office,074995561
Benchmark Electronics B.V.,006090691
Benglish B.V.,009135507
BENK PROJECTS B.V.,024491838
Bennet & Boss B.V.,068842120
Bennet & Boss Netherlands B.V.,068841795
Bennink Dunin-Wasowicz,076962970
Benq Europe B.V.,017085773
Bentley Systems Europe B.V.,034085497
Bentvelsen Fleer Architecten B.V.,039064077
Benzler-Technisch Buro Aandrijftechniek B.V.,012021081
Berg en Dal B.V.,050130463
Bergland Advies B.V.,010041602
Bergman Clinics Nederland B.V.,030196373
"Bernard van Leer Foundation, Stichting",041197262
Bernhoven B.V.,017120496
Beroe Advantage Procurement B.V.,063822407
Beround Testing B.V.,062710370
"BerryWorld, The Netherlands",034267973
Bertschi B.V.,024291317
Besi Netherlands B.V.,009065977
Beson Distributie B.V.,050042440
Beson Post B.V.,058328785
Best of Worlds B.V.,055426840
BESTMIX Software B.V.,009062575
Bestron Nederland B.V.,016035413
BESTSELLER Service B.V.,060223715
Bestseller Wholesale Benelux B.V.,031048963
Betaselect B.V.,077140486
Betech B.V.,004072573
Beter Bed B.V.,016062358
Beter Horen B.V.,009059657
BE-terna B.V.,065287967
Betontechniek Noord B.V.,073508845
Better Be Goods B.V.,064779440
Betty Blocks B.V.,066172446
Betty Blocks Holding B.V.,051769476
Between B.V.,063218747
Between Us Media Marketing Consultants B.V.,028073917
Beveco Gebouwautomatisering B.V.,024429527
Bevers Chiropractie B.V.,076716201
Beyond Belief B.V.,080795587
Beyond Engineering NL B.V.,086804464
Beyond Meat EU B.V.,077010019
Beyond Space B.V.,080911595
Beyond Sports B.V.,063498138
BF Construction Consultancy B.V.,082952450
BF COÖPERATIEF U.A.,068035942
BF Global Logistics B.V.,056569114
BGB Dentistry B.V.,073349887
BGH Accountants & Adviseurs B.V.,077902483
BGIS Global Integrated Solutions Ireland Limited,074993852
BGN INT B.V.,087856042
bGrid B.V.,068285515
Bharosa Taaluiting B.V.,072296771
Bharti Airtel International (Netherlands) B.V.,034387410
BHS Corrugated B.V.,006082598
BICL (NL) B.V.,066666473
Bidfood B.V.,039051693
Bierenko Amsterdam B.V.,033195747
Bierens Incasso Advocaten B.V.,017114967
Bierman Henket architecten B.V.,017107424
Big Adventure Travel Company B.V.,073383449
Big Group B.V.,070993475
BigCommerce Netherlands B.V.,086155717
BigData Republic B.V.,062888692
Bikeurope B.V.,008023280
Bilfinger Insulation B.V.,023029050
Bilfinger Tebodin Netherlands B.V.,027336603
Bilgeadam Technologies B.V.,072797517
Bilgin Bouwservice B.V.,058311173
Bilthoven Biologicals B.V.,053751221
Bimasbikes,060683554
BIM-Connected Consultancy B.V.,086868098
BIMINI Biotech B.V.,075882760
Bio Diets B.V.,069288534
Bio Energy Netherlands B.V.,066819083
BioActor B.V.,052104540
Bioclear earth B.V.,002044410
BioCore B.V.,039042954
Biogas Plus Systems B.V.,017215570
Biogen Netherlands B.V.,034108067
BioGeneration III Services B.V.,066432294
BioGX B.V.,068176384
Bio-ITech B.V.,053765273
BioLizard B.V.,074579126
Biolumnis B.V.,056179146
Biomedical Distribution North Europe B.V.,060669101
Biomet Global Supply Chain Center B.V.,023090168
BIOND Solutions B.V.,070154252
Bioriginal Europe/Asia B.V.,024298869
Biostar Microtech Netherlands B.V.,024431821
Biosynth B.V.,039097142
Biota Nutrients B.V.,071723358
Biotisk Energier Netherlands B.V.,086441426
BioTop Medical,028095963
Bioventus Coöperatief U.A.,055398901
Bird Control Group B.V.,058351701
BIRD Recruitment B.V.,057390533
Bird Rides Europe B.V.,070872120
Birkenstock Netherlands B.V.,088862178
Birlasoft (UK) Limited,034247670
Bisdom Roermond,074911929
BISSELL International Trading Company B.V.,053752139
bitbird,069121672
Bitdefender Netherlands B.V.,066389690
Bitfury Holding B.V.,060269421
Bitonic B.V.,058276149
Bitpanda GmbH,084410876
Bits of Stock B.V.,076309983
Bitvavo B.V.,068743424
BIYU B.V.,080174590
Bizaline B.V.,066314194
Bizbloqs Management Solutions B.V.,071838392
Bizcuit B.V.,068122853
Biztory B.V.,064980499
BiZZdesign International,008204584
BKL B.V.,017065403
Black Bear Carbon,050269178
Black Box International B.V.,066400740
Black Door Recruitment B.V.,071077669
BLACKBEAR B.V.,072489669
BlackBerry Netherlands B.V.,017044288
Blackboard International B.V.,030170649
BlackLine International B.V.,052094030
Blackmagic Design B.V.,074437461
BlackRock (Netherlands) B.V.,017068311
Blackstone Shipping Netherlands B.V.,076670090
Blanco Services B.V.,064426696
Blanq Labs B.V.,086844784
blauwfruit B.V.,085721182
Blauwtrust Groep B.V.,051346060
Bleckmann Nederland B.V.,006078339
Bleckmann Solutions B.V.,066593557
Bleeve B.V.,062679015
Bleko Chemie B.V.,008093259
Blender,034276786
Blendle B.V.,058724109
BlinkLane Consulting B.V.,030192079
BLiS Digital B.V.,024386524
Blitz Optiek Ermelo,083673369
Block Global B.V.,064624439
Blockbax Technology B.V.,070370281
Blockrise Capital B.V.,074879782
BlockTech B.V.,070787972
Bloem Health Products B.V.,061604003
Blonk Milieu Advies B.V.,024317458
Blonk Sustainability Tools B.V.,059850868
Bloomon Nederland B.V.,061571504
Bloomon SSC 2 B.V.,070182078
Bloomon SSC B.V.,068898215
BloomReach B.V.,034239916
Bloozy Maritime Trading B.V.,062870785
Blox B.V.,071663533
BLOXS Software B.V.,062076957
Blu-3 (UK) Ltd,070355010
Blue 10 B.V.,027195343
Blue Billywig International B.V.,064616576
Blue Clue Staffing Solutions B.V.,053892232
Blue Dynamic B.V.,083303308
Blue Engineering B.V.,058223541
Blue Fielders B.V.,062211544
Blue Heart Energy B.V.,066754607
Blue Lynx Employment B.V.,027153281
Blue Medical Devices B.V.,057206937
Blue Ocean Engineering B.V.,028109590
Blue Offshore B.V.,050478923
Blue Owl Capital Netherlands B.V.,082565589
Blue Phoenix Group,024448294
Blue Phoenix Holding B.V.,086707590
Blue Radix B.V.,075407531
Blue Rose Technologies B.V.,073901415
Blue Umbrella,034331176
Blue Water Shipping B.V.,054254981
Blue21 B.V.,062510436
BlueAlp Production B.V.,082644845
Blueberry ICT B.V.,063618052
BlueCielo ECM Solutions B.V.,027133487
BlueConic B.V.,059800143
